"test_id","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"LOC101929427","WT","EX","NOTEST",0.354948,0,-Inf,0,1,1,"no"
"LOC101929431","WT","EX","NOTEST",0,0.0086648,Inf,0,1,1,"no"
"LOC101929439","WT","EX","NOTEST",0.0211616,0.0193028,-0.132635,0,1,1,"no"
"LOC101929441","WT","EX","NOTEST",0.050261,0.0501854,-0.00217318,0,1,1,"no"
"LOC101929448","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929450","WT","EX","NOTEST",0.00658489,0,-Inf,0,1,1,"no"
"LOC101929452","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929454","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929464","WT","EX","NOTEST",0,0.0493092,Inf,0,1,1,"no"
"LOC101929468","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929470","WT","EX","NOTEST",0.00973932,0,-Inf,0,1,1,"no"
"LOC101929473","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929486","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929488","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929497","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929504","WT","EX","NOTEST",0.0767885,0,-Inf,0,1,1,"no"
"LOC101929505","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929512","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929516","WT","EX","NOTEST",0,0.0405447,Inf,0,1,1,"no"
"LOC101929517","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929524","WT","EX","NOTEST",0.00888142,0,-Inf,0,1,1,"no"
"LOC101929526","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929528","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929529","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929532","WT","EX","NOTEST",0.192108,0.173611,-0.146056,0,1,1,"no"
"LOC101929541","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929549","WT","EX","NOTEST",0,0.0210547,Inf,0,1,1,"no"
"LOC101929550","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929551","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929555","WT","EX","NOTEST",0.0296276,0.0197335,-0.586293,0,1,1,"no"
"LOC101929563","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929565","WT","EX","NOTEST",0.0790074,0,-Inf,0,1,1,"no"
"LOC101929567","WT","EX","NOTEST",0.00731345,0.0110641,0.597256,0,1,1,"no"
"LOC101929570","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929572","WT","EX","NOTEST",0,0,0,0,1,1,"no"
