"gene_id","rep_name","fpkm"
"ANKK1","EX_0",0
"ANKLE1","EX_0",0.147634
"ANKLE2","EX_0",16.6495
"ANKMY1","EX_0",0.68281
"ANKMY2","EX_0",5.74263
"ANKRA2","EX_0",8.53779
"ANKRD1","EX_0",0.0306835
"ANKRD10","EX_0",27.0928
"ANKRD11","EX_0",19.5872
"ANKRD12","EX_0",7.46117
"ANKRD13A","EX_0",90.5725
"ANKRD13B","EX_0",5.60376
"ANKRD13C","EX_0",9.63754
"ANKRD13D","EX_0",6.25292
"ANKRD16","EX_0",2.56517
"ANKRD17","EX_0",13.2417
"ANKRD18A","EX_0",0
"ANKRD18B","EX_0",0.0174137
"ANKRD18DP","EX_0",0
"ANKRD19P","EX_0",0.513257
"ANKRD2","EX_0",0.112644
"ANKRD20A1","EX_0",0
"ANKRD20A11P","EX_0",0
"ANKRD20A12P","EX_0",0.0395789
"ANKRD20A19P","EX_0",0
"ANKRD20A2","EX_0",0
"ANKRD20A3","EX_0",0
"ANKRD20A4","EX_0",0
"ANKRD20A5P","EX_0",0
"ANKRD20A8P","EX_0",0
"ANKRD20A9P","EX_0",0.0118319
"ANKRD22","EX_0",0
"ANKRD23","EX_0",0.647845
"ANKRD24","EX_0",0.710998
"ANKRD26","EX_0",1.87206
"ANKRD26P1","EX_0",0.0182939
"ANKRD26P3","EX_0",0
"ANKRD27","EX_0",6.91148
"ANKRD28","EX_0",40.3452
"ANKRD29","EX_0",3.50395
"ANKRD30A","EX_0",0
"ANKRD30B","EX_0",0.0125364
"ANKRD30BL","EX_0",0
"ANKRD30BP2","EX_0",0
"ANKRD30BP3","EX_0",0
"ANKRD31","EX_0",0.0951374
"ANKRD32","EX_0",1.78859
"ANKRD33","EX_0",0.026572
"ANKRD33B","EX_0",14.6502
"ANKRD34A","EX_0",1.08434
"ANKRD34B","EX_0",0
"ANKRD34C","EX_0",0
"ANKRD34C-AS1","EX_0",0
"ANKRD35","EX_0",3.10902
"ANKRD36","EX_0",0.441778
"ANKRD36B","EX_0",0.347188
"ANKRD36BP1","EX_0",4.82146
